us-east-1;us-west-1;us-west-2;eu-west-1;eu-central-1;ap-northeast-1;ap-northeast-2;ap-southeast-1;ap-southeast-2;sa-east-1
0;16;6;0;0;17;10;17;31;0
0;18;11;0;0;20;24;24;24;0
4;10;8;1;0;10;6;7;18;26
2;11;12;11;6;24;8;8;20;0
0;13;11;1;0;15;5;11;26;5
4;1;1;0;0;7;7;1;14;9
7;4;3;6;0;12;2;3;19;18
0;13;11;1;0;15;5;11;26;5
6;8;6;2;4;13;2;7;18;26
0;15;12;0;0;20;21;16;11;0
3;1;2;11;0;12;2;0;1;10
0;10;5;18;1;7;5;4;0;12
3;1;2;11;0;12;2;0;1;10
0;4;4;0;0;2;5;4;0;0
0;5;5;0;0;15;0;4;0;0
0;23;23;0;0;24;21;16;13;0
0;17;13;9;0;19;22;15;22;0
0;15;12;0;0;20;21;16;11;0
7;4;3;6;0;12;2;3;19;18
0;5;5;0;0;15;0;4;0;0
0;17;13;9;0;19;22;15;22;0
0;6;7;0;0;8;1;3;0;0
4;13;14;14;17;21;13;19;16;3
0;16;15;0;0;24;8;35;28;0
0;17;13;9;0;19;22;15;22;0
0;4;7;0;0;6;6;0;0;3
0;6;7;0;0;8;2;4;0;0
3;0;1;3;0;4;1;1;17;0
0;14;6;0;0;19;21;14;25;0
0;10;5;18;1;7;5;4;0;12
0;5;6;0;0;0;1;0;0;17
0;15;12;0;0;20;21;16;11;0
2;4;2;0;0;6;9;7;11;3
62;81;98;63;60;104;105;99;95;62
5;1;2;16;0;9;8;0;0;2
5;2;0;4;0;11;5;8;18;13
8;4;2;6;0;6;10;3;24;25
0;30;31;0;0;27;26;36;8;0
0;4;4;0;0;7;7;15;0;0
2;10;12;10;0;5;3;4;0;17
22;5;3;0;0;8;2;4;10;45
0;17;13;9;0;19;22;15;22;0
0;12;11;8;0;19;7;11;15;1
1;12;13;0;0;16;8;12;18;1
6;3;3;2;4;8;21;8;3;5
2;5;3;0;0;7;2;1;12;0
0;12;11;6;1;7;4;13;15;10
100;103;101;74;63;61;91;24;42;92
0;5;7;2;0;0;1;0;0;0
100;103;101;74;63;61;91;24;42;92
